gene_id,correlation,kappa,pef,normal_var,tumor_var,diff_var,var_reduction,mean_normal,mean_early_neoplasia,mean_difference
ELN,0.7058861112496204,0.5073632174369972,3.0041167162197384,345.0439910174671,175.06262943992445,173.131296014315,0.6671234527603973,48.53294232142857,48.24056107333333,-0.2923812480952391
RAB11B,0.6883262683911916,1.7652656009585046,2.9537136047316013,273.4058789758638,482.6339932559164,255.96248431827246,0.6614431411366071,80.41354928,89.61822122857141,9.204671948571429
MDK,0.8118584768058813,1.1647526365815635,5.249448922286966,744.1310835416383,866.728641517419,306.8626343271993,0.809503813675676,87.16023550761905,97.55845258190476,10.398217074285713
CLSTN1,0.8653393495003219,0.7752198857093137,7.060869343651319,860.4992321522635,667.0761164020299,216.34380615296197,0.8583743797923218,105.59347860571431,105.7272939252381,0.13381531952380837
PRKCSH,0.8585743571433746,1.321764384585485,6.679555656068763,911.1624953195093,1204.342134883366,316.71337722604596,0.8502894426680252,105.21865413000002,111.6978517852381,6.479197655238094
PRDX2,0.7817160649176197,1.3215172902613956,4.42836122279512,493.2139801348106,651.7908025467927,258.5617399022595,0.7741828297898395,81.30522093095236,91.68607394476192,10.380853013809523
ANPEP,0.49036096524831396,0.24643320080049186,1.640944390237001,231.17796547676494,56.96992598698479,175.5988156442843,0.39059482700960385,48.84961817238096,36.41427459619048,-12.435343576190476
C11orf52,0.5055307785838894,1.0817383249618302,2.020777392608779,140.80061049578597,152.3094165513146,145.0481523195892,0.5051409404828001,41.85432658571428,48.77896987428572,6.9246432885714295
RPL18,0.8427197003937263,0.8269530848528667,6.208514891261181,2219.9571416192543,1835.8004065031946,653.2572795840666,0.8389308848388923,99.6802875590476,94.25819362333334,-5.4220939357142885
MAZ,0.7361685098702128,0.7343683494589855,3.6694962727419775,496.46615336206656,364.58902960675243,234.65214813405643,0.7274830315462444,71.0100264195238,75.04832583952381,4.0382994199999995
MAP2K2,0.42086435307121867,1.397633163287673,1.7095075556906583,171.71150815953013,239.9896983219012,240.83029356082608,0.4150362210034279,69.56493044761903,75.41200330619048,5.847072858571428
COL5A1,0.7429804486725099,1.5035029853632278,3.673754896768978,370.52081011324526,557.0791441444659,252.49369659187764,0.7277989337613439,51.323480473333326,48.97502246333333,-2.3484580099999994
ZBTB16,0.8412693958546413,1.1553522281885087,6.214317699290206,292.1247680533912,337.5070016795368,101.31953340667533,0.8390812880206915,28.882200087619054,29.74307137952381,0.8608712919047622
S100A8,0.21305732915888817,0.8546262139547318,1.2696829362766333,182.48568504352284,155.95705010968155,266.55689029396075,0.212401796205502,23.49055481380952,22.463284801761905,-1.0272700120476186
PLXND1,0.2841522426123397,1.7618962890982413,1.375755260864515,153.15469501500155,269.8426888049041,307.4655760749897,0.2731265302437532,72.27027371761903,80.24144339523811,7.971169677619046
ARPC4,0.7441390059149519,0.7884714763002664,3.8301841771216347,450.492544139048,355.2005213395781,210.3536091792067,0.738915949271271,76.22485114,79.82857859142857,3.6037274514285738
PMVK,0.6989233474965761,0.6195895437121257,3.118863618193276,392.941791083859,243.46262504307361,204.0500945326988,0.6793703981903223,57.72410985857143,62.25236219857142,4.528252340000001
CCDC57,0.37130106484835274,4.310843133916765,1.4090816323140245,61.04370402132188,263.14983234916264,230.07434696177742,0.29031790843957117,56.89675256190477,67.3018545104762,10.405101948571426
ARFGAP1,0.478775567228247,3.2342404211878737,1.6854837967402028,71.33230021401599,230.70580868847892,179.19965145120318,0.4066985384647171,68.98563117190477,77.79978397761904,8.814152805714286
FXYD6,0.6375720182374282,0.7602362148862718,2.714659960931615,200.67779837420585,152.5625298477167,130.12323211953873,0.6316297383865268,49.15032013904762,43.451232575714286,-5.699087563333334
UQCR11,0.7931075914737813,0.6689311359429075,4.49127428151867,618.9585901469438,414.0406728086157,230.00137560208472,0.7773460409409996,82.31858528333333,81.58582330238094,-0.7327619809523834
EPS8L1,0.3915193386617459,2.1937518470400748,1.5702073293940855,102.98148958561909,225.9158329893901,209.4610797046303,0.36314142643450664,45.721720899047625,59.7869433147619,14.065222415714283
PNMT,0.8299215830094339,2.7571224119196387,3.7532875752217065,163.2743666025038,450.16741545174654,163.441188494067,0.7335669116851696,23.901739547761903,37.26602659238095,13.364287044619047
C17orf28,0.616401440190883,1.6568453014621258,2.4830332498594294,229.13899799874036,379.6478722159524,245.17870239923602,0.5972667703678101,56.652285401904756,69.22941893000001,12.577133528095239
FOXP4,0.6753724479743234,0.9409997731362949,3.077494685952713,264.11217777733447,248.52949937100453,166.57759946371385,0.6750603649895741,55.47765941095238,62.323928953333336,6.846269542380952
PPP2R4,0.7975842435640723,0.8532816603726101,4.879975389369425,737.3569882364505,629.1731952097457,280.02808916271493,0.7950809337730663,92.70462552238094,106.34434423,13.639718707619046
HSPB7,0.03617968480281742,0.5420861935670647,1.0357840522152226,261.58131898534566,141.79962151701818,389.4450195865214,0.03454779221469129,24.249116819428572,20.47282381390476,-3.7762930055238093
LAPTM5,0.4441510950309649,1.0142834045877613,1.7990139079916205,284.3474283063355,288.40887766832435,318.372361342149,0.44413992823636483,66.92862100619047,66.39517130619048,-0.5334496999999995
BCAM,0.6957393326661832,1.9169557011617038,2.945243369649023,439.00672301252,841.5564405271672,434.79027123394854,0.6604694843539645,59.421122079523805,79.47887959285714,20.05775751333333
FXYD5,0.6145339180493801,0.961340188229327,2.5934587013673824,343.29860863459623,330.0267490436488,259.62447650438344,0.6144145270280352,78.19795426761905,83.45105174714284,5.253097479523807
BOK,0.22881198295421282,1.231074268467539,1.2946348840950497,178.95336701200583,220.30488538410813,308.3944804061074,0.22758144996301385,54.7926874547619,62.262382350476194,7.469694895714287
G6PD,0.6712046720935624,2.3624474137841593,2.588230116079794,160.83334252134682,379.9603140898177,208.94342170404303,0.6136355906735881,47.958471092380954,58.167003814285714,10.208532721904762
GDI1,0.7891788651656201,0.7169885734346184,4.5123188376654335,375.17846604545946,268.9986731533224,142.75966800521212,0.7783844546505103,67.57085841761905,65.16202740666667,-2.4088310109523805
FKBP8,0.5684365447271637,2.2164433045781564,2.1106683550746266,389.27425752039966,862.8043217257228,593.2142661047538,0.5262164244819773,81.03551313190476,85.03561100761905,4.000097875714287
RBCK1,0.5983429664108589,0.8366330427603031,2.4750713007208915,148.6753652421921,124.38672320607459,110.32493826288336,0.5959712353705773,45.47987571809524,46.62919188047619,1.1493161623809518
PRPF8,0.7714170868406136,0.7900738496227023,4.275224392983738,428.7400186549051,338.7362770259901,179.51719608927084,0.7660941489665092,60.451710901904754,58.614848680952385,-1.8368622209523802
CDC42EP4,0.6796190916200048,0.6561763448338405,2.9834061347882255,436.34529538706295,286.3194610125254,242.22808553381424,0.6648126487575973,72.25111844142857,67.99092450142858,-4.26019394
ATP6V0D1,0.3004673756489791,3.5984852693908005,1.3296062440786311,50.09438527875312,180.2639075047805,173.25301668026052,0.24789763551918056,70.4830972890476,76.6902136142857,6.207116325238094
MBOAT7,0.6066609307508605,1.4793367118734537,2.47044862806698,178.41124622277513,263.9303063484453,179.05312725216783,0.5952152217864749,61.387301003809526,73.95345802190475,12.566157018095236
AP2M1,0.8487888448163294,0.908621965455373,6.570971824177483,584.0011518964354,530.636274464341,169.63052896674074,0.8478155093709941,90.43515117,92.46878525666666,2.033634086666667
CPXM1,0.6556280765095168,1.4311070911914598,2.818786225368943,201.10293641427117,287.7998383618887,173.44443164084524,0.6452373752219849,38.578125494285715,38.87635421142858,0.2982287171428573
OLFML3,0.7216650125852034,0.5876486946843392,3.2992352173320545,337.6765942067982,198.43520981107827,162.4957812045322,0.6968994527135728,66.00038328047619,58.09864579857143,-7.901737481904762
SSC5D,0.8355199787712595,1.6153844167235096,5.320906833237547,358.46645830211173,579.061130659299,176.19695633553584,0.8120621105873522,43.22681367666668,42.986832226190465,-0.23998145047619074
RHBDD2,0.6648700675680923,1.190994851530113,2.9615506501051536,222.59869832572207,265.11390366323974,164.6814995285138,0.6623390520217868,62.40242222380952,72.66841393904762,10.265991715238096
MZT2A,0.5358082306632905,0.4880234671463617,2.01245686455665,443.5496627714423,216.46264427731876,327.9634553529492,0.5030949395179694,46.88732786,46.08941122380953,-0.7979166361904758
LAMC3,0.5414055953591899,1.5548981078510393,2.1208093637033736,102.99041885891657,160.13960741051537,124.07056983657986,0.5284819007712263,34.63089590714286,39.72687196238095,5.095976055238094
DUS1L,0.5353045902954585,1.9234036972360324,2.0321033436312517,184.51055469896804,354.8882830870663,265.4386842463236,0.5078990430609414,73.05641258714284,79.6503259304762,6.593913343333334
ADAMTS15,0.33123457898909425,0.5001628648423743,1.4541391494825453,526.8838923755783,263.52775704987044,543.5598441227004,0.31230790371344513,42.68980127285714,50.16360124571429,7.473799972857142
